Time,Usage_kW,
30/5/2022 2:00,16.77,
30/5/2022 2:15,14.63,
30/5/2022 2:30,17.7,
30/5/2022 2:45,16.33,
30/5/2022 3:00,14.88,
30/5/2022 3:15,14.93,
30/5/2022 3:30,16.81,
30/5/2022 3:45,17.31,
30/5/2022 4:00,14.62,
30/5/2022 4:15,18.97,
30/5/2022 4:30,23.46,
30/5/2022 4:45,27.79,
30/5/2022 5:00,26.87,
30/5/2022 5:15,25.62,
30/5/2022 5:30,27.09,
30/5/2022 5:45,28.41,
30/5/2022 6:00,27.91,
30/5/2022 6:15,26.67,
30/5/2022 6:30,28.04,
30/5/2022 6:45,28.23,
30/5/2022 7:00,26.6,
30/5/2022 7:15,28.19,
30/5/2022 7:30,25.98,
30/5/2022 7:45,28.21,
30/5/2022 8:00,26.5,
30/5/2022 8:15,24.81,
30/5/2022 8:30,19.81,
30/5/2022 8:45,13.97,
30/5/2022 9:00,11.74,
30/5/2022 9:15,9.34,
30/5/2022 9:30,7.99,
30/5/2022 9:45,10.95,
30/5/2022 10:00,8.97,
30/5/2022 10:15,9.2,
30/5/2022 10:30,16.16,
30/5/2022 10:45,13.33,
30/5/2022 11:00,9.43,
30/5/2022 11:15,7.27,
30/5/2022 11:30,6.19,
30/5/2022 11:45,0.81,
30/5/2022 12:00,0,
30/5/2022 12:15,11.97,
30/5/2022 12:30,14.38,
30/5/2022 12:45,19.03,
30/5/2022 13:00,13.45,
30/5/2022 13:15,13.74,
30/5/2022 13:30,13.78,
30/5/2022 13:45,12.67,
30/5/2022 14:00,13.2,
30/5/2022 14:15,18.98,
30/5/2022 14:30,11.62,
30/5/2022 14:45,12.58,
30/5/2022 15:00,11.62,
30/5/2022 15:15,13.11,
30/5/2022 15:30,16.2,
30/5/2022 15:45,20.5,
30/5/2022 16:00,20.46,
30/5/2022 16:15,21.22,
30/5/2022 16:30,26.07,
30/5/2022 16:45,28.01,
30/5/2022 17:00,28.29,
30/5/2022 17:15,25.63,
30/5/2022 17:30,27.02,
30/5/2022 17:45,27.61,
30/5/2022 18:00,28.4,
30/5/2022 18:15,28.18,
30/5/2022 18:30,27,
30/5/2022 18:45,27.38,
30/5/2022 19:00,14.71,
30/5/2022 19:15,0.89,
30/5/2022 19:30,26.55,
30/5/2022 19:45,0.87,
30/5/2022 20:00,1.27,
30/5/2022 20:15,0.62,
30/5/2022 20:30,27.39,
30/5/2022 20:45,28.39,
30/5/2022 21:00,27.74,
30/5/2022 21:15,27.27,
30/5/2022 21:30,28.26,
30/5/2022 21:45,28.39,
30/5/2022 22:00,28.37,
30/5/2022 22:15,26.06,
30/5/2022 22:30,28.4,
30/5/2022 22:45,28.4,
30/5/2022 23:00,26.96,
30/5/2022 23:15,28.42,
30/5/2022 23:30,28.42,
30/5/2022 23:45,28.43,
31/5/2022 0:00,28.41,
31/5/2022 0:15,28.45,
31/5/2022 0:30,28.42,
31/5/2022 0:45,28.43,
31/5/2022 1:00,28.42,
31/5/2022 1:15,28.41,
31/5/2022 1:30,28.42,
31/5/2022 1:45,28.43,
31/5/2022 2:00,28.45,
31/5/2022 2:15,28.44,
31/5/2022 2:30,28.45,
31/5/2022 2:45,28.42,
31/5/2022 3:00,28.43,
31/5/2022 3:15,28.44,
31/5/2022 3:30,23.41,
31/5/2022 3:45,16.99,
31/5/2022 4:00,17.96,
31/5/2022 4:15,20.92,
31/5/2022 4:30,27.29,
31/5/2022 4:45,27.89,
31/5/2022 5:00,26.28,
31/5/2022 5:15,25.38,
31/5/2022 5:30,25.95,
31/5/2022 5:45,27.85,
31/5/2022 6:00,27.6,
31/5/2022 6:15,28.44,
31/5/2022 6:30,27.64,
31/5/2022 6:45,27.9,
31/5/2022 7:00,27.88,
31/5/2022 7:15,20.74,
31/5/2022 7:30,14.82,
31/5/2022 7:45,16.95,
31/5/2022 8:00,18.48,
31/5/2022 8:15,13.9,
31/5/2022 8:30,13.89,
31/5/2022 8:45,13.39,
31/5/2022 9:00,10.3,
31/5/2022 9:15,9.78,
31/5/2022 9:30,5.97,
31/5/2022 9:45,8.58,
31/5/2022 10:00,12.85,
31/5/2022 10:15,7.62,
31/5/2022 10:30,1.25,
31/5/2022 10:45,6.85,
31/5/2022 11:00,2.97,
31/5/2022 11:15,0.09,
31/5/2022 11:30,1.41,
31/5/2022 11:45,-3.39,
31/5/2022 12:00,-3.68,
31/5/2022 12:15,1.76,
31/5/2022 12:30,0.06,
31/5/2022 12:45,-0.01,
31/5/2022 13:00,9.59,
31/5/2022 13:15,6.67,
31/5/2022 13:30,0.23,
31/5/2022 13:45,11.05,
31/5/2022 14:00,12.82,
31/5/2022 14:15,13.15,
31/5/2022 14:30,16.45,
31/5/2022 14:45,15.59,
31/5/2022 15:00,16.49,
31/5/2022 15:15,10.7,
31/5/2022 15:30,14.22,
31/5/2022 15:45,23.05,
31/5/2022 16:00,22.74,
31/5/2022 16:15,28.27,
31/5/2022 16:30,28.22,
31/5/2022 16:45,28.44,
31/5/2022 17:00,28.43,
31/5/2022 17:15,28.29,
31/5/2022 17:30,27.24,
31/5/2022 17:45,28.46,
31/5/2022 18:00,28.34,
31/5/2022 18:15,27.29,
31/5/2022 18:30,26.78,
31/5/2022 18:45,28.4,
31/5/2022 19:00,28.46,
31/5/2022 19:15,28.43,
31/5/2022 19:30,28.46,
31/5/2022 19:45,28.45,
31/5/2022 20:00,28.47,
31/5/2022 20:15,28.48,
31/5/2022 20:30,28.46,
31/5/2022 20:45,28.47,
31/5/2022 21:00,28.48,
31/5/2022 21:15,28.49,
31/5/2022 21:30,28.49,
31/5/2022 21:45,28.51,
31/5/2022 22:00,28.46,
31/5/2022 22:15,28.48,
31/5/2022 22:30,27.27,
31/5/2022 22:45,28.39,
31/5/2022 23:00,26.21,
31/5/2022 23:15,28.11,
31/5/2022 23:30,22.27,
31/5/2022 23:45,23.29,
1/6/2022 0:00,23.14,
1/6/2022 0:15,23.28,
1/6/2022 0:30,23.28,
1/6/2022 0:45,23.28,
1/6/2022 1:00,23.55,
1/6/2022 1:15,23.43,
1/6/2022 1:30,23.53,
1/6/2022 1:45,23.53,
1/6/2022 2:00,23.56,
1/6/2022 2:15,23.55,
1/6/2022 2:30,23.54,
1/6/2022 2:45,23.57,
1/6/2022 3:00,23.6,
1/6/2022 3:15,23.55,
1/6/2022 3:30,18.18,
1/6/2022 3:45,17.49,
1/6/2022 4:00,16.18,
1/6/2022 4:15,19.79,
1/6/2022 4:30,23.53,
1/6/2022 4:45,23.61,
1/6/2022 5:00,23.58,
1/6/2022 5:15,23.56,
1/6/2022 5:30,23.57,
1/6/2022 5:45,23.6,
1/6/2022 6:00,23.57,
1/6/2022 6:15,23.58,
1/6/2022 6:30,23.52,
1/6/2022 6:45,23.58,
1/6/2022 7:00,23.62,
1/6/2022 7:15,23.28,
1/6/2022 7:30,22.34,
1/6/2022 7:45,23.5,
1/6/2022 8:00,22.04,
1/6/2022 8:15,19.72,
1/6/2022 8:30,16.4,
1/6/2022 8:45,17.32,
1/6/2022 9:00,12.87,
1/6/2022 9:15,15.36,
1/6/2022 9:30,9.14,
1/6/2022 9:45,2.47,
1/6/2022 10:00,2.52,
1/6/2022 10:15,4.2,
1/6/2022 10:30,0.37,
1/6/2022 10:45,0.01,
1/6/2022 11:00,0.04,
1/6/2022 11:15,0.02,
1/6/2022 11:30,10.58,
1/6/2022 11:45,0.06,
1/6/2022 12:00,5.17,
1/6/2022 12:15,10.17,
1/6/2022 12:30,7.21,
1/6/2022 12:45,0.21,
1/6/2022 13:00,6.21,
1/6/2022 13:15,10.77,
1/6/2022 13:30,3.56,
1/6/2022 13:45,12.02,
1/6/2022 14:00,14.45,
1/6/2022 14:15,12.79,
1/6/2022 14:30,18.35,
1/6/2022 14:45,17.24,
1/6/2022 15:00,17.52,
1/6/2022 15:15,16.01,
1/6/2022 15:30,17.25,
1/6/2022 15:45,18.16,
1/6/2022 16:00,22.4,
1/6/2022 16:15,23.12,
1/6/2022 16:30,23.63,
1/6/2022 16:45,23.58,
1/6/2022 17:00,23.6,
1/6/2022 17:15,23.55,
1/6/2022 17:30,23.59,
1/6/2022 17:45,23.61,
1/6/2022 18:00,23.63,
1/6/2022 18:15,23.63,
1/6/2022 18:30,23.6,
1/6/2022 18:45,23.63,
1/6/2022 19:00,23.59,
1/6/2022 19:15,23.61,
1/6/2022 19:30,23.63,
1/6/2022 19:45,23.64,
1/6/2022 20:00,23.61,
1/6/2022 20:15,23.61,
1/6/2022 20:30,23.65,
1/6/2022 20:45,23.65,
1/6/2022 21:00,23.63,
1/6/2022 21:15,23.56,
1/6/2022 21:30,23.64,
1/6/2022 21:45,23.64,
1/6/2022 22:00,23.65,
1/6/2022 22:15,23.65,
1/6/2022 22:30,23.62,
1/6/2022 22:45,23.1,
1/6/2022 23:00,23.69,
1/6/2022 23:15,23.65,
1/6/2022 23:30,23.65,
1/6/2022 23:45,23.69,
2/6/2022 0:00,23.64,
2/6/2022 0:15,23.65,
2/6/2022 0:30,23.65,
2/6/2022 0:45,23.66,
2/6/2022 1:00,23.67,
2/6/2022 1:15,23.68,
2/6/2022 1:30,23.66,
2/6/2022 1:45,23.68,
2/6/2022 2:00,23.65,
2/6/2022 2:15,23.67,
2/6/2022 2:30,23.68,
2/6/2022 2:45,23.66,
2/6/2022 3:00,23.67,
2/6/2022 3:15,23.65,
2/6/2022 3:30,23.69,
2/6/2022 3:45,23.67,
2/6/2022 4:00,23.69,
2/6/2022 4:15,23.68,
2/6/2022 4:30,22.72,
2/6/2022 4:45,23.65,
2/6/2022 5:00,23.68,
2/6/2022 5:15,23.67,
2/6/2022 5:30,23.68,
2/6/2022 5:45,23.7,
2/6/2022 6:00,23.71,
2/6/2022 6:15,23.69,
2/6/2022 6:30,23.69,
2/6/2022 6:45,23.91,
2/6/2022 7:00,23.71,
2/6/2022 7:15,23.71,
2/6/2022 7:30,19.33,
2/6/2022 7:45,16.08,
2/6/2022 8:00,15.74,
2/6/2022 8:15,14.56,
2/6/2022 8:30,16.98,
2/6/2022 8:45,13.65,
2/6/2022 9:00,13.82,
2/6/2022 9:15,9.8,
2/6/2022 9:30,10.48,
2/6/2022 9:45,9.25,
2/6/2022 10:00,11,
2/6/2022 10:15,9.53,
2/6/2022 10:30,7.62,
2/6/2022 10:45,4.17,
2/6/2022 11:00,7.71,
2/6/2022 11:15,7.55,
2/6/2022 11:30,6.31,
2/6/2022 11:45,4.65,
2/6/2022 12:00,7.45,
2/6/2022 12:15,8.43,
2/6/2022 12:30,8.55,
2/6/2022 12:45,0.05,
2/6/2022 13:00,11.49,
2/6/2022 13:15,10.57,
2/6/2022 13:30,10.47,
2/6/2022 13:45,14.48,
2/6/2022 14:00,15.75,
2/6/2022 14:15,12.75,
2/6/2022 14:30,13.62,
2/6/2022 14:45,18.95,
2/6/2022 15:00,22.73,
2/6/2022 15:15,23.49,
2/6/2022 15:30,23.05,
2/6/2022 15:45,24.18,
2/6/2022 16:00,24.48,
2/6/2022 16:15,24.14,
2/6/2022 16:30,24.92,
2/6/2022 16:45,23.9,
2/6/2022 17:00,24.89,
2/6/2022 17:15,24.96,
2/6/2022 17:30,25.04,
2/6/2022 17:45,25.35,
2/6/2022 18:00,25.65,
2/6/2022 18:15,25.72,
2/6/2022 18:30,25.65,
2/6/2022 18:45,25.57,
2/6/2022 19:00,25.63,
2/6/2022 19:15,25.71,
2/6/2022 19:30,25.71,
2/6/2022 19:45,25.77,
2/6/2022 20:00,25.73,
2/6/2022 20:15,25.74,
2/6/2022 20:30,25.73,
2/6/2022 20:45,25.75,
2/6/2022 21:00,25.58,
2/6/2022 21:15,25.74,
2/6/2022 21:30,25.74,
2/6/2022 21:45,25.74,
2/6/2022 22:00,25.74,
2/6/2022 22:15,25.74,
2/6/2022 22:30,24.94,
2/6/2022 22:45,23.08,
2/6/2022 23:00,25.51,
2/6/2022 23:15,25.75,
2/6/2022 23:30,25.76,
2/6/2022 23:45,25.77,
3/6/2022 0:00,25.76,
3/6/2022 0:15,25.81,
3/6/2022 0:30,25.75,
3/6/2022 0:45,25.77,
3/6/2022 1:00,25.77,
3/6/2022 1:15,25.78,
3/6/2022 1:30,25.75,
3/6/2022 1:45,25.76,
3/6/2022 2:00,25.78,
3/6/2022 2:15,25.78,
3/6/2022 2:30,25.76,
3/6/2022 2:45,25.78,
3/6/2022 3:00,25.78,
3/6/2022 3:15,25.78,
3/6/2022 3:30,25.8,
3/6/2022 3:45,25.77,
3/6/2022 4:00,25.78,
3/6/2022 4:15,25.79,
3/6/2022 4:30,25.78,
3/6/2022 4:45,24.43,
3/6/2022 5:00,25.59,
3/6/2022 5:15,25.78,
3/6/2022 5:30,25.77,
3/6/2022 5:45,25.24,
3/6/2022 6:00,25.67,
3/6/2022 6:15,25.78,
3/6/2022 6:30,25.81,
3/6/2022 6:45,25.38,
3/6/2022 7:00,25.56,
3/6/2022 7:15,21.58,
3/6/2022 7:30,20.7,
3/6/2022 7:45,18.79,
3/6/2022 8:00,15.95,
3/6/2022 8:15,18.69,
3/6/2022 8:30,17.43,
3/6/2022 8:45,13.03,
3/6/2022 9:00,10.57,
3/6/2022 9:15,11.67,
3/6/2022 9:30,18.3,
3/6/2022 9:45,8.97,
3/6/2022 10:00,12.7,
3/6/2022 10:15,19.05,
3/6/2022 10:30,7.86,
3/6/2022 10:45,0.4,
3/6/2022 11:00,13.02,
3/6/2022 11:15,13.61,
3/6/2022 11:30,13.5,
3/6/2022 11:45,0.01,
3/6/2022 12:00,14.4,
3/6/2022 12:15,16.06,
3/6/2022 12:30,11.44,
3/6/2022 12:45,0.95,
3/6/2022 13:00,13.01,
3/6/2022 13:15,18.23,
3/6/2022 13:30,19.23,
3/6/2022 13:45,24.91,
3/6/2022 14:00,25.63,
3/6/2022 14:15,25.66,
3/6/2022 14:30,23.21,
3/6/2022 14:45,21.22,
3/6/2022 15:00,23.18,
3/6/2022 15:15,25.77,
3/6/2022 15:30,24.5,
3/6/2022 15:45,22.33,
3/6/2022 16:00,25.74,
3/6/2022 16:15,25.8,
3/6/2022 16:30,24.54,
3/6/2022 16:45,24.44,
3/6/2022 17:00,26.11,
3/6/2022 17:15,26.02,
3/6/2022 17:30,26,
3/6/2022 17:45,26.12,
3/6/2022 18:00,25.78,
3/6/2022 18:15,26.13,
3/6/2022 18:30,26.16,
3/6/2022 18:45,26.13,
3/6/2022 19:00,26.13,
3/6/2022 19:15,26.13,
3/6/2022 19:30,26.14,
3/6/2022 19:45,26.16,
3/6/2022 20:00,26.12,
3/6/2022 20:15,4.41,
3/6/2022 20:30,26.14,
3/6/2022 20:45,26.15,
3/6/2022 21:00,26.16,
3/6/2022 21:15,26.15,
3/6/2022 21:30,26.15,
3/6/2022 21:45,26.08,
3/6/2022 22:00,26.13,
3/6/2022 22:15,26.13,
3/6/2022 22:30,25.43,
3/6/2022 22:45,25.94,
3/6/2022 23:00,26.12,
3/6/2022 23:15,26.15,
3/6/2022 23:30,26.92,
3/6/2022 23:45,26.2,
4/6/2022 0:00,26.84,
4/6/2022 0:15,26.89,
4/6/2022 0:30,26.9,
4/6/2022 0:45,26.88,
4/6/2022 1:00,26.91,
4/6/2022 1:15,26.91,
4/6/2022 1:30,26.9,
4/6/2022 1:45,26.89,
4/6/2022 2:00,26.9,
4/6/2022 2:15,26.91,
4/6/2022 2:30,26.91,
4/6/2022 2:45,26.89,
4/6/2022 3:00,26.93,
4/6/2022 3:15,26.91,
4/6/2022 3:30,26.91,
4/6/2022 3:45,26.91,
4/6/2022 4:00,26.92,
4/6/2022 4:15,26.93,
4/6/2022 4:30,26.68,
4/6/2022 4:45,26.36,
4/6/2022 5:00,26.6,
4/6/2022 5:15,26.93,
4/6/2022 5:30,26.92,
4/6/2022 5:45,26.79,
4/6/2022 6:00,26.93,
4/6/2022 6:15,26.92,
4/6/2022 6:30,26.31,
4/6/2022 6:45,26.9,
4/6/2022 7:00,23.8,
4/6/2022 7:15,26.97,
4/6/2022 7:30,26.94,
4/6/2022 7:45,26.93,
4/6/2022 8:00,26.96,
4/6/2022 8:15,26.91,
4/6/2022 8:30,26.96,
4/6/2022 8:45,26.94,
4/6/2022 9:00,26.96,
4/6/2022 9:15,26.96,
4/6/2022 9:30,26.97,
4/6/2022 9:45,26.62,
4/6/2022 10:00,26.96,
4/6/2022 10:15,27,
4/6/2022 10:30,26.56,
4/6/2022 10:45,26.69,
4/6/2022 11:00,24.02,
4/6/2022 11:15,19.48,
4/6/2022 11:30,12.49,
4/6/2022 11:45,7.03,
4/6/2022 12:00,12.95,
4/6/2022 12:15,18.1,
4/6/2022 12:30,8.98,
4/6/2022 12:45,5.35,
4/6/2022 13:00,4.07,
4/6/2022 13:15,13.51,
4/6/2022 13:30,13.7,
4/6/2022 13:45,15.48,
4/6/2022 14:00,14.21,
4/6/2022 14:15,16.78,
4/6/2022 14:30,16.95,
4/6/2022 14:45,12.76,
4/6/2022 15:00,11.74,
4/6/2022 15:15,19.25,
4/6/2022 15:30,25.71,
4/6/2022 15:45,24.51,
4/6/2022 16:00,26.09,
4/6/2022 16:15,26.88,
4/6/2022 16:30,25.32,
4/6/2022 16:45,26.6,
4/6/2022 17:00,27,
4/6/2022 17:15,26.96,
4/6/2022 17:30,26.98,
4/6/2022 17:45,27,
4/6/2022 18:00,26.99,
4/6/2022 18:15,27,
4/6/2022 18:30,26.98,
4/6/2022 18:45,26.98,
4/6/2022 19:00,27.01,
4/6/2022 19:15,26.98,
4/6/2022 19:30,27,
4/6/2022 19:45,27.01,
4/6/2022 20:00,27,
4/6/2022 20:15,27.01,
4/6/2022 20:30,27,
4/6/2022 20:45,27.01,
4/6/2022 21:00,27.03,
4/6/2022 21:15,27.03,
4/6/2022 21:30,27.02,
4/6/2022 21:45,27.01,
4/6/2022 22:00,26.99,
4/6/2022 22:15,27.04,
4/6/2022 22:30,26.35,
4/6/2022 22:45,26.89,
4/6/2022 23:00,27.02,
4/6/2022 23:15,27.04,
4/6/2022 23:30,27.04,
4/6/2022 23:45,27.04,
5/6/2022 0:00,27.06,
5/6/2022 0:15,27.04,
5/6/2022 0:30,27.04,
5/6/2022 0:45,27.06,
5/6/2022 1:00,27.06,
5/6/2022 1:15,27.05,
5/6/2022 1:30,27.06,
5/6/2022 1:45,27.06,
5/6/2022 2:00,27.08,
5/6/2022 2:15,27.07,
5/6/2022 2:30,27.05,
5/6/2022 2:45,25.92,
5/6/2022 3:00,15.86,
5/6/2022 3:15,16.65,
5/6/2022 3:30,16.25,
5/6/2022 3:45,15.02,
5/6/2022 4:00,14.57,
5/6/2022 4:15,17.14,
5/6/2022 4:30,26.48,
5/6/2022 4:45,26.13,
5/6/2022 5:00,26.59,
5/6/2022 5:15,27.06,
5/6/2022 5:30,26.78,
5/6/2022 5:45,25.47,
5/6/2022 6:00,27.07,
5/6/2022 6:15,27.06,
5/6/2022 6:30,27.06,
5/6/2022 6:45,27.09,
5/6/2022 7:00,26.89,
5/6/2022 7:15,27.11,
5/6/2022 7:30,27.08,
5/6/2022 7:45,27.08,
5/6/2022 8:00,27.1,
5/6/2022 8:15,27.09,
5/6/2022 8:30,27.1,
5/6/2022 8:45,27.09,
5/6/2022 9:00,27.12,
5/6/2022 9:15,27.1,
5/6/2022 9:30,27.1,
5/6/2022 9:45,27.11,
5/6/2022 10:00,27.13,
5/6/2022 10:15,27.16,
5/6/2022 10:30,27.13,
5/6/2022 10:45,27.11,
5/6/2022 11:00,27.12,
5/6/2022 11:15,18.14,
5/6/2022 11:30,15.16,
5/6/2022 11:45,22.36,
5/6/2022 12:00,10.24,
5/6/2022 12:15,20.72,
5/6/2022 12:30,18.87,
5/6/2022 12:45,14.31,
5/6/2022 13:00,12.63,
5/6/2022 13:15,15.84,
5/6/2022 13:30,13.27,
5/6/2022 13:45,14.22,
5/6/2022 14:00,12.72,
5/6/2022 14:15,12.92,
5/6/2022 14:30,19.49,
5/6/2022 14:45,17.62,
5/6/2022 15:00,9.46,
5/6/2022 15:15,14.48,
5/6/2022 15:30,16.3,
5/6/2022 15:45,16.71,
5/6/2022 16:00,22.41,
5/6/2022 16:15,26.57,
5/6/2022 16:30,26.94,
5/6/2022 16:45,27.12,
5/6/2022 17:00,27.11,
5/6/2022 17:15,27.15,
5/6/2022 17:30,27.13,
5/6/2022 17:45,27.18,
5/6/2022 18:00,27.14,
5/6/2022 18:15,27.13,
5/6/2022 18:30,27.15,
5/6/2022 18:45,27.14,
5/6/2022 19:00,27.16,
5/6/2022 19:15,27.18,
5/6/2022 19:30,27.16,
5/6/2022 19:45,27.17,
5/6/2022 20:00,27.17,
5/6/2022 20:15,27.17,
5/6/2022 20:30,27.19,
5/6/2022 20:45,27.12,
5/6/2022 21:00,27.15,
5/6/2022 21:15,27.17,
5/6/2022 21:30,27.15,
5/6/2022 21:45,27.17,
5/6/2022 22:00,27.01,
5/6/2022 22:15,27.2,
5/6/2022 22:30,27.21,
5/6/2022 22:45,27.18,
5/6/2022 23:00,27.2,
5/6/2022 23:15,27.23,
5/6/2022 23:30,27.19,
5/6/2022 23:45,27.2,
6/6/2022 0:00,27.21,
6/6/2022 0:15,27.21,
6/6/2022 0:30,27.21,
6/6/2022 0:45,27.22,
6/6/2022 1:00,27.21,
6/6/2022 1:15,27.2,
6/6/2022 1:30,27.21,
6/6/2022 1:45,27.22,
6/6/2022 2:00,27.22,
6/6/2022 2:15,27.21,
6/6/2022 2:30,27.23,
6/6/2022 2:45,23.85,
6/6/2022 3:00,14.02,
6/6/2022 3:15,16.23,
6/6/2022 3:30,16.39,
6/6/2022 3:45,14.08,
6/6/2022 4:00,14.44,
6/6/2022 4:15,17.1,
6/6/2022 4:30,25.17,
6/6/2022 4:45,26.29,
6/6/2022 5:00,26.8,
6/6/2022 5:15,27.17,
6/6/2022 5:30,27.04,
6/6/2022 5:45,27.23,
6/6/2022 6:00,27.22,
6/6/2022 6:15,25.96,
6/6/2022 6:30,26.98,
6/6/2022 6:45,26.16,
6/6/2022 7:00,24.42,
6/6/2022 7:15,25.57,
6/6/2022 7:30,25.46,
6/6/2022 7:45,23.93,
6/6/2022 8:00,21.87,
6/6/2022 8:15,24.13,
6/6/2022 8:30,21.59,
6/6/2022 8:45,14.33,
6/6/2022 9:00,11.93,
